顧客ID,顧客社名,社員ID,商品ID,受注金額,担当所要工数
28,ペンギン建材,10098,2,240000,10
24,グリーンガス,10458,13,410000,17
27,カモメエージェント,10110,14,270000,9
23,ペリドット総研,10241,9,600000,27
17,チャコール工業,10426,12,200000,9
14,エミューデザイン,10332,19,40000,6
18,アンバーテクノロジー,10068,18,50000,5
23,ペリドット総研,10241,2,240000,13
0,ターコイズ水産,10317,7,270000,10
2,クレイン乳業,10098,4,30000,10
9,ギベオンソリューションズ,10349,14,270000,8
18,アンバーテクノロジー,10068,7,270000,11
9,ギベオンソリューションズ,10349,9,600000,25
1,プルーン産業,10034,15,50000,11
4,アルバトロス建設工業,10089,10,40000,5
4,アルバトロス建設工業,10089,3,290000,9
28,ペンギン建材,10098,3,290000,9
3,アップル研究所,10182,15,50000,10
15,カーキ技研,10272,5,30000,7
4,アルバトロス建設工業,10089,11,480000,21
9,ギベオンソリューションズ,10349,4,30000,7
0,ターコイズ水産,10317,0,50000,6
20,ボルドー電鉄,10098,13,410000,29
17,チャコール工業,10426,9,600000,16
13,ロビンプロダクツ,10182,10,40000,9
18,アンバーテクノロジー,10068,16,50000,6
7,マンゴー証券,10033,19,40000,11
21,トルマリンコーポレーション,10072,17,240000,9
8,ビワ食品,10493,1,600000,16
15,カーキ技研,10272,4,30000,10
10,マントヒヒ化学,10516,19,40000,7
21,トルマリンコーポレーション,10072,7,270000,12
22,サファイアキャリア,10194,1,600000,25
9,ギベオンソリューションズ,10349,7,270000,11
19,アクアマリン林業,10349,17,240000,9
13,ロビンプロダクツ,10182,10,40000,11
26,ブルー化粧品,10215,5,30000,5
12,ピーチ鉄道,10112,12,200000,10
11,パパイア屋,10182,12,200000,8
28,ペンギン建材,10098,8,280000,12
18,アンバーテクノロジー,10068,2,240000,9
18,アンバーテクノロジー,10068,19,40000,10
11,パパイア屋,10182,13,410000,18
27,カモメエージェント,10110,3,290000,8
3,アップル研究所,10182,14,270000,14
19,アクアマリン林業,10349,7,270000,14
27,カモメエージェント,10110,7,270000,13
23,ペリドット総研,10241,15,50000,8
27,カモメエージェント,10110,13,410000,26
16,シロサイ機械工業,10089,12,200000,12
14,エミューデザイン,10332,3,290000,10
3,アップル研究所,10182,4,30000,8
23,ペリドット総研,10241,8,280000,10
19,アクアマリン林業,10349,5,30000,7
27,カモメエージェント,10110,17,240000,12
5,アボカドエンタテインメント,10113,9,600000,22
24,グリーンガス,10458,14,270000,9
0,ターコイズ水産,10317,10,40000,9
15,カーキ技研,10272,1,600000,18
15,カーキ技研,10272,19,40000,5
12,ピーチ鉄道,10112,12,200000,11
5,アボカドエンタテインメント,10113,17,240000,13
9,ギベオンソリューションズ,10349,11,480000,15
28,ペンギン建材,10098,10,40000,6
9,ギベオンソリューションズ,10349,6,150000,8
0,ターコイズ水産,10317,2,240000,14
19,アクアマリン林業,10349,12,200000,14
20,ボルドー電鉄,10098,7,270000,13
5,アボカドエンタテインメント,10113,3,290000,11
14,エミューデザイン,10332,9,600000,24
24,グリーンガス,10458,6,150000,14
6,クンツァイトサイエンス,10050,8,280000,12
18,アンバーテクノロジー,10068,9,600000,27
15,カーキ技研,10272,16,50000,11
26,ブルー化粧品,10215,3,290000,10
25,アンズ堂,10402,11,480000,26
20,ボルドー電鉄,10098,14,270000,14
8,ビワ食品,10493,7,270000,8
28,ペンギン建材,10098,8,280000,10
20,ボルドー電鉄,10098,19,40000,6
10,マントヒヒ化学,10516,0,50000,8
23,ペリドット総研,10241,10,40000,5
28,ペンギン建材,10098,0,50000,7
2,クレイン乳業,10098,8,280000,8
19,アクアマリン林業,10349,2,240000,9
14,エミューデザイン,10332,6,150000,9
3,アップル研究所,10182,2,240000,9
21,トルマリンコーポレーション,10072,0,50000,5
6,クンツァイトサイエンス,10050,12,200000,14
20,ボルドー電鉄,10098,0,50000,10
1,プルーン産業,10034,6,150000,9
9,ギベオンソリューションズ,10349,9,600000,25
20,ボルドー電鉄,10098,19,40000,5
10,マントヒヒ化学,10516,2,240000,14
3,アップル研究所,10182,12,200000,9
7,マンゴー証券,10033,6,150000,10
11,パパイア屋,10182,9,600000,22
23,ペリドット総研,10241,9,600000,24
24,グリーンガス,10458,7,270000,14
12,ピーチ鉄道,10112,13,410000,20
26,ブルー化粧品,10215,13,410000,21
9,ギベオンソリューションズ,10349,14,270000,9
13,ロビンプロダクツ,10182,6,150000,10
13,ロビンプロダクツ,10182,19,40000,10
